"year","month","day","tmax","measurement.flag.4","quality.flag.4","source.flag.4","tmin","measurement.flag.5","quality.flag.5","source.flag.5"
2001,0,12,133,NA,NA,"0",28,NA," ","0"
2001,0,13,128,NA,NA,"0",44,NA," ","0"
2001,0,14,122,NA,NA,"0",11,NA," ","0"
2001,0,15,122,NA,NA,"0",-22,NA," ","0"
2001,0,16,111,NA,NA,"0",11,NA," ","0"
2001,0,17,133,NA,NA,"0",-22,NA," ","0"
2001,0,18,122,NA,NA,"0",-33,NA," ","0"
2001,0,19,144,NA,NA,"0",22,NA," ","0"
2001,0,20,122,NA,NA,"0",0,NA," ","0"
2001,0,21,128,NA,NA,"0",-11,NA," ","0"
2001,0,22,172,NA,NA,"0",0,NA," ","0"
2001,0,23,144,NA,NA,"0",39,NA," ","0"
2001,0,24,122,NA,NA,"0",33,NA," ","0"
2001,0,25,122,NA,NA,"0",17,NA," ","0"
2001,0,26,111,NA,NA,"0",6,NA," ","0"
2001,0,27,139,NA,NA,"0",-22,NA," ","0"
2001,0,28,133,NA,NA,"0",-6,NA," ","0"
2001,0,29,139,NA,NA,"0",17,NA," ","0"
2001,0,30,122,NA,NA,"0",0,NA," ","0"
2001,0,31,150,NA,NA,"0",-11,NA," ","0"
2001,1,1,161,NA,NA,"0",-22,NA," ","0"
2001,1,2,156,NA,NA,"0",11,NA," ","0"
2001,1,3,200,NA,NA,"0",22,NA," ","0"
2001,1,4,211,NA,NA,"0",56,NA," ","0"
2001,1,5,206,NA,NA,"0",28,NA," ","0"
2001,1,6,128,NA,NA,"0",39,NA," ","0"
2001,1,7,122,NA,NA,"0",-11,NA," ","0"
2001,1,8,139,NA,NA,"0",6,NA," ","0"
2001,1,9,106,NA,NA,"0",50,NA," ","0"
2001,1,10,100,NA,NA,"0",44,NA," ","0"
2001,1,11,100,NA,NA,"0",28,NA," ","0"
2001,1,12,89,NA,NA,"0",22,NA," ","0"
2001,1,13,144,NA,NA,"0",11,NA," ","0"
2001,1,14,133,NA,NA,"0",6,NA," ","0"
2001,1,15,133,NA,NA,"0",0,NA," ","0"
2001,1,16,161,NA,NA,"0",11,NA," ","0"
2001,1,17,167,NA,NA,"0",50,NA," ","0"
2001,1,18,150,NA,NA,"0",78,NA," ","0"
2001,1,19,150,NA,NA,"0",83,NA," ","0"
2001,1,20,133,NA,NA,"0",83,NA," ","0"
2001,1,21,161,NA,NA,"0",83,NA," ","0"
2001,1,22,117,NA,NA,"0",56,NA," ","0"
2001,1,23,117,NA,NA,"0",56,NA," ","0"
2001,1,24,128,NA,NA,"0",56,NA," ","0"
2001,1,25,139,NA,NA,"0",50,NA," ","0"
2001,1,26,167,NA,NA,"0",61,NA," ","0"
2001,1,27,200,NA,NA,"0",33,NA," ","0"
2001,1,28,150,NA,NA,"0",33,NA," ","0"
2001,2,1,156,NA,NA,"0",0,NA," ","0"
2001,2,2,139,NA,NA,"0",44,NA," ","0"
2001,2,3,122,NA,NA,"0",33,NA," ","0"
2001,2,4,161,NA,NA,"0",94,NA," ","0"
2001,2,5,178,NA,NA,"0",78,NA," ","0"
2001,2,6,183,NA,NA,"0",94,NA," ","0"
2001,2,7,194,NA,NA,"0",61,NA," ","0"
2001,2,8,150,NA,NA,"0",67,NA," ","0"
2001,2,9,156,NA,NA,"0",50,NA," ","0"
2001,2,10,172,NA,NA,"0",11,NA," ","0"
2001,2,11,183,NA,NA,"0",17,NA," ","0"
2001,2,12,206,NA,NA,"0",28,NA," ","0"
2001,2,13,211,NA,NA,"0",39,NA," ","0"
2001,2,14,217,NA,NA,"0",39,NA," ","0"
2001,2,15,150,NA,NA,"0",50,NA," ","0"
2001,2,16,183,NA,NA,"0",56,NA," ","0"
2001,2,17,217,NA,NA,"0",50,NA," ","0"
2001,2,18,250,NA,NA,"0",56,NA," ","0"
2001,2,19,250,NA,NA,"0",78,NA," ","0"
2001,2,20,267,NA,NA,"0",111,NA," ","0"
2001,2,21,222,NA,NA,"0",89,NA," ","0"
2001,2,22,189,NA,NA,"0",100,NA," ","0"
2001,2,23,194,NA,NA,"0",94,NA," ","0"
